Local time,Open,High,Low,Close,Volume
30.11.2016 09:00:00.000 GMT+0900,18331.031,18670.730,18290.729,18616.531,487.6382
01.12.2016 09:00:00.000 GMT+0900,18638.113,18752.053,18398.795,18421.531,623.8329
02.12.2016 09:00:00.000 GMT+0900,18411.531,18442.033,18256.975,18366.530,416.2093
03.12.2016 09:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
04.12.2016 09:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
05.12.2016 09:00:00.000 GMT+0900,18336.530,18572.020,18231.766,18406.531,567.5121
06.12.2016 09:00:00.000 GMT+0900,18430.246,18480.322,18323.170,18463.531,478.3269
07.12.2016 09:00:00.000 GMT+0900,18476.031,18676.299,18421.050,18651.530,312.6476
08.12.2016 09:00:00.000 GMT+0900,18691.854,18924.803,18618.330,18850.530,594.603
09.12.2016 09:00:00.000 GMT+0900,18900.530,19243.121,18890.398,19237.855,683.4926
10.12.2016 09:00:00.000 GMT+0900,19237.855,19237.855,19237.855,19237.855,0
11.12.2016 09:00:00.000 GMT+0900,19237.855,19237.855,19237.855,19237.855,0
12.12.2016 09:00:00.000 GMT+0900,19264.031,19285.256,19070.236,19104.030,616.9995
13.12.2016 09:00:00.000 GMT+0900,19151.531,19354.799,19111.290,19316.531,451.209
14.12.2016 09:00:00.000 GMT+0900,19234.030,19475.428,19173.172,19364.031,617.988
15.12.2016 09:00:00.000 GMT+0900,19319.030,19555.334,19178.932,19496.531,932.53
16.12.2016 09:00:00.000 GMT+0900,19401.531,19465.338,19283.229,19345.031,595.7196
17.12.2016 09:00:00.000 GMT+0900,19345.031,19345.031,19345.031,19345.031,0
18.12.2016 09:00:00.000 GMT+0900,19345.031,19345.031,19345.031,19345.031,0
19.12.2016 09:00:00.000 GMT+0900,19357.530,19472.060,19320.773,19425.531,471.7704
20.12.2016 09:00:00.000 GMT+0900,19412.531,19669.986,19392.453,19584.530,370.1529
21.12.2016 09:00:00.000 GMT+0900,19584.530,19600.150,19382.280,19465.530,496.8029
22.12.2016 09:00:00.000 GMT+0900,19385.531,19454.043,19357.195,19430.531,443.2545
23.12.2016 09:00:00.000 GMT+0900,19440.530,19495.023,19402.668,19435.531,223.7646
24.12.2016 09:00:00.000 GMT+0900,19435.531,19435.531,19435.531,19435.531,0
25.12.2016 09:00:00.000 GMT+0900,19435.531,19435.531,19435.531,19435.531,0
26.12.2016 09:00:00.000 GMT+0900,19435.531,19435.531,19435.531,19435.531,0
27.12.2016 09:00:00.000 GMT+0900,19430.531,19498.658,19393.980,19435.531,330.8787
28.12.2016 09:00:00.000 GMT+0900,19404.244,19493.863,19324.615,19340.338,395.1804
29.12.2016 09:00:00.000 GMT+0900,19253.531,19262.398,18947.217,19028.531,483.4071
30.12.2016 09:00:00.000 GMT+0900,19028.031,19196.680,19010.271,19060.531,477.8541
31.12.2016 09:00:00.000 GMT+0900,19060.531,19060.531,19060.531,19060.531,0
01.01.2017 09:00:00.000 GMT+0900,19060.531,19060.531,19060.531,19060.531,0
02.01.2017 09:00:00.000 GMT+0900,19060.531,19060.531,19060.531,19060.531,0
03.01.2017 09:00:00.000 GMT+0900,19195.530,19446.701,19160.530,19329.896,320.5819
04.01.2017 09:00:00.000 GMT+0900,19450.531,19692.732,19447.072,19669.096,481.0353
05.01.2017 09:00:00.000 GMT+0900,19560.031,19597.623,19389.482,19447.531,580.5969
06.01.2017 09:00:00.000 GMT+0900,19437.531,19646.014,19402.104,19605.031,712.7867
07.01.2017 09:00:00.000 GMT+0900,19605.031,19605.031,19605.031,19605.031,0
08.01.2017 09:00:00.000 GMT+0900,19605.031,19605.031,19605.031,19605.031,0
09.01.2017 09:00:00.000 GMT+0900,19631.115,19719.370,19427.531,19442.531,374.8817
10.01.2017 09:00:00.000 GMT+0900,19396.840,19495.979,19263.125,19330.031,766.4971
11.01.2017 09:00:00.000 GMT+0900,19380.030,19526.277,19143.508,19352.530,683.7009
12.01.2017 09:00:00.000 GMT+0900,19137.530,19227.277,18969.146,19195.025,802.0104
13.01.2017 09:00:00.000 GMT+0900,19225.031,19389.620,19211.635,19289.486,591.33
14.01.2017 09:00:00.000 GMT+0900,19289.486,19289.486,19289.486,19289.486,0
15.01.2017 09:00:00.000 GMT+0900,19289.486,19289.486,19289.486,19289.486,0
16.01.2017 09:00:00.000 GMT+0900,19210.030,19219.918,19050.523,19065.055,377.9188
17.01.2017 09:00:00.000 GMT+0900,18917.531,19055.174,18675.960,18745.031,898.6364
18.01.2017 09:00:00.000 GMT+0900,18662.530,19013.690,18658.781,19005.030,665.3448
19.01.2017 09:00:00.000 GMT+0900,19100.031,19196.280,18981.990,19060.031,673.6423
20.01.2017 09:00:00.000 GMT+0900,19122.531,19297.406,19050.070,19152.531,747.6963
21.01.2017 09:00:00.000 GMT+0900,19152.531,19152.531,19152.531,19152.531,0
22.01.2017 09:00:00.000 GMT+0900,19152.531,19152.531,19152.531,19152.531,0
23.01.2017 09:00:00.000 GMT+0900,18935.031,19036.225,18803.367,18892.530,766.3452
