Local time,Open,High,Low,Close,Volume
01.12.2016 00:00:00.000 GMT+0900,18559.824,18601.760,18530.287,18597.285,40.0959
01.12.2016 01:00:00.000 GMT+0900,18597.564,18670.730,18594.957,18634.453,43.7295
01.12.2016 02:00:00.000 GMT+0900,18634.496,18644.720,18612.732,18622.496,27.4766
01.12.2016 03:00:00.000 GMT+0900,18622.547,18649.490,18619.922,18638.880,20.5136
01.12.2016 04:00:00.000 GMT+0900,18638.883,18639.014,18604.549,18615.600,24.9061
01.12.2016 05:00:00.000 GMT+0900,18615.533,18636.400,18601.310,18626.191,24.8249
01.12.2016 06:00:00.000 GMT+0900,18616.531,18616.531,18616.531,18616.531,0.0003
01.12.2016 07:00:00.000 GMT+0900,18616.531,18616.531,18616.531,18616.531,0
01.12.2016 08:00:00.000 GMT+0900,18616.531,18616.531,18616.531,18616.531,0
01.12.2016 09:00:00.000 GMT+0900,18616.531,18616.531,18616.531,18616.531,0
01.12.2016 10:00:00.000 GMT+0900,18638.113,18743.787,18617.850,18736.535,27.0848
01.12.2016 11:00:00.000 GMT+0900,18736.535,18752.053,18717.227,18739.484,18.5093
01.12.2016 12:00:00.000 GMT+0900,18739.328,18742.287,18699.434,18713.190,15.5895
01.12.2016 13:00:00.000 GMT+0900,18713.902,18715.479,18599.640,18611.799,20.6154
01.12.2016 14:00:00.000 GMT+0900,18613.363,18613.768,18471.521,18515.550,36.2248
01.12.2016 15:00:00.000 GMT+0900,18520.006,18537.113,18420.553,18436.310,22.941
01.12.2016 16:00:00.000 GMT+0900,18436.479,18529.605,18436.479,18516.780,27.3235
01.12.2016 17:00:00.000 GMT+0900,18515.370,18549.100,18486.826,18539.734,40.457
01.12.2016 18:00:00.000 GMT+0900,18539.344,18541.533,18483.320,18489.049,32.645
01.12.2016 19:00:00.000 GMT+0900,18491.049,18530.430,18488.574,18510.170,28.4375
01.12.2016 20:00:00.000 GMT+0900,18510.398,18527.357,18497.896,18524.840,22.2527
01.12.2016 21:00:00.000 GMT+0900,18524.700,18528.220,18502.418,18514.777,22.8363
01.12.2016 22:00:00.000 GMT+0900,18515.160,18541.178,18501.480,18526.473,27.1625
01.12.2016 23:00:00.000 GMT+0900,18526.555,18577.947,18524.506,18567.510,41.6143
02.12.2016 00:00:00.000 GMT+0900,18567.613,18582.139,18494.620,18507.328,58.2253
02.12.2016 01:00:00.000 GMT+0900,18507.314,18530.611,18502.955,18514.133,49.5665
02.12.2016 02:00:00.000 GMT+0900,18514.060,18537.555,18497.342,18497.764,35.2383
