Local time,Open,High,Low,Close,Volume
30.11.2016 09:00:00.000 GMT+0900,112.468,114.824,112.057,114.681,265867.5625
01.12.2016 09:00:00.000 GMT+0900,114.683,114.722,113.834,113.901,242996.1875
02.12.2016 09:00:00.000 GMT+0900,113.907,114.204,113.329,113.466,203579.8594
03.12.2016 09:00:00.000 GMT+0900,113.466,113.466,113.466,113.466,0
04.12.2016 09:00:00.000 GMT+0900,113.264,113.565,112.876,113.522,18183.1094
05.12.2016 09:00:00.000 GMT+0900,113.532,114.775,113.156,113.855,233073.9688
06.12.2016 09:00:00.000 GMT+0900,113.855,114.185,113.501,114.041,180036.25
07.12.2016 09:00:00.000 GMT+0900,114.045,114.404,113.414,113.733,161861.0938
08.12.2016 09:00:00.000 GMT+0900,113.734,114.376,113.124,114.056,218838.8438
09.12.2016 09:00:00.000 GMT+0900,114.060,115.368,114.012,115.258,175174.9844
10.12.2016 09:00:00.000 GMT+0900,115.258,115.258,115.258,115.258,0
11.12.2016 09:00:00.000 GMT+0900,115.406,115.543,115.363,115.417,8210.9697
12.12.2016 09:00:00.000 GMT+0900,115.418,116.122,114.737,114.976,209373.6875
13.12.2016 09:00:00.000 GMT+0900,114.976,115.475,114.777,115.217,195275.8125
14.12.2016 09:00:00.000 GMT+0900,115.217,117.394,114.771,117.204,220658.75
15.12.2016 09:00:00.000 GMT+0900,117.207,118.665,117.192,118.252,306609.0313
16.12.2016 09:00:00.000 GMT+0900,118.252,118.427,117.470,117.891,212459.875
17.12.2016 09:00:00.000 GMT+0900,117.891,117.891,117.891,117.891,0
18.12.2016 09:00:00.000 GMT+0900,117.954,117.964,117.714,117.806,11199.0703
19.12.2016 09:00:00.000 GMT+0900,117.808,117.839,116.547,117.019,195739.8438
20.12.2016 09:00:00.000 GMT+0900,117.021,118.241,116.996,117.832,196394.6563
21.12.2016 09:00:00.000 GMT+0900,117.832,118.067,117.108,117.620,166318.1719
22.12.2016 09:00:00.000 GMT+0900,117.617,117.874,117.268,117.528,157523.9219
23.12.2016 09:00:00.000 GMT+0900,117.528,117.564,117.171,117.296,96333.7813
24.12.2016 09:00:00.000 GMT+0900,117.296,117.296,117.296,117.296,0
25.12.2016 09:00:00.000 GMT+0900,117.269,117.378,117.120,117.319,6758.9302
26.12.2016 09:00:00.000 GMT+0900,117.319,117.324,117.001,117.193,101213.8281
27.12.2016 09:00:00.000 GMT+0900,117.193,117.616,117.191,117.482,108057.3203
28.12.2016 09:00:00.000 GMT+0900,117.482,117.813,116.844,117.083,131494.4688
29.12.2016 09:00:00.000 GMT+0900,117.087,117.087,116.047,116.306,164614.4844
30.12.2016 09:00:00.000 GMT+0900,116.315,117.194,116.116,116.929,183648.7969
31.12.2016 09:00:00.000 GMT+0900,116.929,116.929,116.929,116.929,0
01.01.2017 09:00:00.000 GMT+0900,116.762,116.981,116.722,116.763,504.12
02.01.2017 09:00:00.000 GMT+0900,116.795,117.665,116.727,117.454,77485.2969
03.01.2017 09:00:00.000 GMT+0900,117.457,118.604,117.223,117.632,190994.6719
04.01.2017 09:00:00.000 GMT+0900,117.635,118.185,117.055,117.134,204019.9688
05.01.2017 09:00:00.000 GMT+0900,117.133,117.133,115.068,115.343,280988.5938
06.01.2017 09:00:00.000 GMT+0900,115.341,117.180,115.244,116.942,226943.5156
07.01.2017 09:00:00.000 GMT+0900,116.942,116.942,116.942,116.942,0
08.01.2017 09:00:00.000 GMT+0900,117.013,117.233,116.997,117.148,6347.8501
09.01.2017 09:00:00.000 GMT+0900,117.148,117.532,115.649,115.986,213167.9375
10.01.2017 09:00:00.000 GMT+0900,115.986,116.343,115.198,115.870,248993.7344
11.01.2017 09:00:00.000 GMT+0900,115.871,116.870,114.246,115.094,297728.5625
12.01.2017 09:00:00.000 GMT+0900,115.096,115.235,113.757,114.671,302609.8125
13.01.2017 09:00:00.000 GMT+0900,114.680,115.445,114.168,114.430,261902.5469
14.01.2017 09:00:00.000 GMT+0900,114.430,114.430,114.430,114.430,0
15.01.2017 09:00:00.000 GMT+0900,114.314,114.471,114.095,114.223,9500.2998
16.01.2017 09:00:00.000 GMT+0900,114.221,114.454,113.624,114.159,183731.0625
17.01.2017 09:00:00.000 GMT+0900,114.163,114.282,112.568,112.892,299196.125
18.01.2017 09:00:00.000 GMT+0900,112.897,114.841,112.642,114.711,265544.8125
19.01.2017 09:00:00.000 GMT+0900,114.712,115.621,114.401,114.938,296496.2188
20.01.2017 09:00:00.000 GMT+0900,114.937,115.384,114.211,114.592,277086.875
21.01.2017 09:00:00.000 GMT+0900,114.592,114.592,114.592,114.592,0
22.01.2017 09:00:00.000 GMT+0900,114.254,114.422,113.759,113.807,12407.7002
23.01.2017 09:00:00.000 GMT+0900,113.808,114.075,112.523,112.784,278455.375
24.01.2017 09:00:00.000 GMT+0900,112.792,113.988,112.555,113.864,231820.2813
25.01.2017 09:00:00.000 GMT+0900,113.864,113.982,113.037,113.272,249614.6406
26.01.2017 09:00:00.000 GMT+0900,113.270,114.859,113.050,114.421,250416.2656
27.01.2017 09:00:00.000 GMT+0900,114.423,115.376,114.391,115.139,220976.9531
28.01.2017 09:00:00.000 GMT+0900,115.139,115.139,115.139,115.139,0
29.01.2017 09:00:00.000 GMT+0900,114.745,114.949,114.572,114.651,10548.7695
30.01.2017 09:00:00.000 GMT+0900,114.651,114.935,113.453,113.683,231328.5938
31.01.2017 09:00:00.000 GMT+0900,113.680,113.964,112.080,112.774,298573.5938
01.02.2017 09:00:00.000 GMT+0900,112.774,113.952,112.745,113.296,262262.375
02.02.2017 09:00:00.000 GMT+0900,113.294,113.298,112.053,112.811,255952.2344
03.02.2017 09:00:00.000 GMT+0900,112.812,113.467,112.317,112.551,231025.0156
04.02.2017 09:00:00.000 GMT+0900,112.551,112.551,112.551,112.551,0
05.02.2017 09:00:00.000 GMT+0900,112.438,112.704,112.436,112.646,8214.4199
06.02.2017 09:00:00.000 GMT+0900,112.644,112.775,111.623,111.828,221947.0625
