Local time,Open,High,Low,Close,Volume
01.12.2016 00:00:00.000 GMT+0900,113.600,113.957,113.381,113.950,18026.4707
01.12.2016 01:00:00.000 GMT+0900,113.950,114.542,113.921,114.347,22019.5801
01.12.2016 02:00:00.000 GMT+0900,114.347,114.443,114.074,114.134,12191.9902
01.12.2016 03:00:00.000 GMT+0900,114.135,114.315,114.103,114.242,9122.6504
01.12.2016 04:00:00.000 GMT+0900,114.242,114.324,114.064,114.281,8406.5801
01.12.2016 05:00:00.000 GMT+0900,114.284,114.468,114.192,114.423,8318.3701
01.12.2016 06:00:00.000 GMT+0900,114.422,114.503,114.339,114.463,3333.98
01.12.2016 07:00:00.000 GMT+0900,114.464,114.464,114.302,114.388,2089.3101
01.12.2016 08:00:00.000 GMT+0900,114.382,114.832,114.316,114.687,7952.7002
01.12.2016 09:00:00.000 GMT+0900,114.690,114.730,114.355,114.424,14109.0498
01.12.2016 10:00:00.000 GMT+0900,114.424,114.573,114.257,114.502,11473.0996
01.12.2016 11:00:00.000 GMT+0900,114.503,114.549,114.286,114.361,9608.6104
01.12.2016 12:00:00.000 GMT+0900,114.361,114.361,114.149,114.251,9048.4805
01.12.2016 13:00:00.000 GMT+0900,114.247,114.355,114.129,114.162,8295.5898
01.12.2016 14:00:00.000 GMT+0900,114.160,114.171,113.875,114.007,12781.7998
01.12.2016 15:00:00.000 GMT+0900,114.005,114.169,113.839,113.936,10000.4404
01.12.2016 16:00:00.000 GMT+0900,113.939,114.195,113.864,114.168,10514.3896
01.12.2016 17:00:00.000 GMT+0900,114.167,114.383,114.077,114.365,11782.8799
01.12.2016 18:00:00.000 GMT+0900,114.366,114.380,114.097,114.158,10742.21
01.12.2016 19:00:00.000 GMT+0900,114.159,114.361,114.130,114.303,10066.9805
01.12.2016 20:00:00.000 GMT+0900,114.303,114.395,114.187,114.386,6999.1001
01.12.2016 21:00:00.000 GMT+0900,114.387,114.451,114.324,114.449,7647.7598
01.12.2016 22:00:00.000 GMT+0900,114.449,114.451,114.220,114.330,11228.2998
01.12.2016 23:00:00.000 GMT+0900,114.329,114.711,114.315,114.658,16003.7305
02.12.2016 00:00:00.000 GMT+0900,114.664,114.724,114.330,114.413,21465.8809
02.12.2016 01:00:00.000 GMT+0900,114.415,114.569,114.276,114.329,15971.6699
02.12.2016 02:00:00.000 GMT+0900,114.329,114.649,114.319,114.499,9620.3701
02.12.2016 03:00:00.000 GMT+0900,114.499,114.522,114.092,114.157,10060.0996
02.12.2016 04:00:00.000 GMT+0900,114.156,114.218,113.929,114.028,11113.2998
02.12.2016 05:00:00.000 GMT+0900,114.028,114.170,113.973,114.023,8083.2598
02.12.2016 06:00:00.000 GMT+0900,114.035,114.128,113.974,114.128,3280.1101
02.12.2016 07:00:00.000 GMT+0900,114.124,114.197,114.076,114.184,1553.0699
02.12.2016 08:00:00.000 GMT+0900,114.182,114.189,113.873,113.910,5566.0898
02.12.2016 09:00:00.000 GMT+0900,113.913,114.015,113.633,113.738,10331.5498
02.12.2016 10:00:00.000 GMT+0900,113.739,113.820,113.584,113.819,8254.7002
02.12.2016 11:00:00.000 GMT+0900,113.819,113.991,113.761,113.884,5729.1201
02.12.2016 12:00:00.000 GMT+0900,113.884,114.114,113.867,113.932,5780.1099
02.12.2016 13:00:00.000 GMT+0900,113.930,113.989,113.786,113.986,5869.54
02.12.2016 14:00:00.000 GMT+0900,113.986,114.091,113.923,114.073,6243.1699
02.12.2016 15:00:00.000 GMT+0900,114.075,114.087,113.968,114.048,4893.0298
02.12.2016 16:00:00.000 GMT+0900,114.048,114.145,113.920,113.952,6955.0801
02.12.2016 17:00:00.000 GMT+0900,113.952,114.019,113.838,113.868,10210.2695
02.12.2016 18:00:00.000 GMT+0900,113.869,113.870,113.605,113.713,10505.4102
02.12.2016 19:00:00.000 GMT+0900,113.709,113.907,113.709,113.874,8065.1201
02.12.2016 20:00:00.000 GMT+0900,113.875,113.948,113.793,113.899,7195.5801
02.12.2016 21:00:00.000 GMT+0900,113.899,114.049,113.885,113.998,7451.6201
02.12.2016 22:00:00.000 GMT+0900,114.002,114.207,113.478,114.066,21961.1504
02.12.2016 23:00:00.000 GMT+0900,114.068,114.108,113.552,113.667,19316.3301
03.12.2016 00:00:00.000 GMT+0900,113.667,113.859,113.332,113.816,17749.9707
03.12.2016 01:00:00.000 GMT+0900,113.817,113.933,113.638,113.753,12550.79
03.12.2016 02:00:00.000 GMT+0900,113.751,113.789,113.596,113.684,9146.5303
03.12.2016 03:00:00.000 GMT+0900,113.686,113.722,113.533,113.709,8072.6602
03.12.2016 04:00:00.000 GMT+0900,113.707,113.815,113.675,113.703,7218.5601
03.12.2016 05:00:00.000 GMT+0900,113.699,113.733,113.542,113.579,8414.96
03.12.2016 06:00:00.000 GMT+0900,113.580,113.598,113.496,113.539,5675.04
03.12.2016 07:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
03.12.2016 08:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
03.12.2016 09:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
03.12.2016 10:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
03.12.2016 11:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
03.12.2016 12:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
03.12.2016 13:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
03.12.2016 14:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
03.12.2016 15:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
03.12.2016 16:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
03.12.2016 17:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
03.12.2016 18:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
03.12.2016 19:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
03.12.2016 20:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
03.12.2016 21:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
03.12.2016 22:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
03.12.2016 23:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 00:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 01:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 02:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 03:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 04:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 05:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 06:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 07:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 08:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 09:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 10:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 11:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 12:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 13:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 14:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 15:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 16:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 17:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 18:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 19:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 20:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 21:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 22:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 23:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
05.12.2016 00:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
05.12.2016 01:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
05.12.2016 02:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
05.12.2016 03:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
05.12.2016 04:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
05.12.2016 05:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
05.12.2016 06:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
05.12.2016 07:00:00.000 GMT+0900,113.361,113.562,112.889,113.050,6378.8501
05.12.2016 08:00:00.000 GMT+0900,113.047,113.573,113.002,113.527,12321.3398
